Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
1/28/14,85.42,85.94,85.31,85.85,86.36531495,86.37363079,87.15191291,87.66099894,87.346,89.12728493,85.56471507,44439554,35809300.95,50.4620111,58.95625146,-2.154091634,-84,-0.298927838,0.243785344,0.542713182,-136.1361361,-21.3112161,-1.823201712,87.25765542,0.1140699,0.007384832
1/29/14,85.1,85.74,84.76,84.93,86.29529959,86.37394149,86.74792874,87.42809004,87.223,89.29169137,85.15430863,52064566,37463248.15,47.22171713,57.90345256,-2.959323583,-95.99056604,-0.398219284,0.044939077,0.443158361,-180.331092,-89.49973326,-2.686112748,86.8353588,0.111629498,0.011562058
1/30/14,85.99,86.8,85.88,86.5,86.30528498,86.35491995,86.70285079,87.16552822,87.15,89.21254212,85.08745788,66863622,39561626,52.61399424,57.34830153,-1.018423161,-58.96226415,-0.343424383,0.013877882,0.357302265,-51.16096025,-121.034793,-0.844987391,86.26375116,0.110722072,0.010712622
1/31/14,85.54,86.68,85.45,86.27,86.30356376,86.33224093,86.62415065,86.933614,87.1,89.19668309,85.00331691,45196915,40361971.3,51.80872985,56.66531676,-1.921327876,-64.38679245,-0.309012647,-0.028963543,0.280049103,-62.73620559,-116.4902602,-1.025166149,86.33462581,0.110935085,0.014394383
2/3/14,86.14,86.5,84.07,84.29,86.20534114,86.29496088,86.19975962,86.68532054,86.9825,89.40690818,84.55809182,65617206,41856465.75,45.57318548,56.00272969,-3.414690042,-95.53752535,-0.400157212,-0.220147412,0.1800098,-178.9185148,-121.8565818,-3.160261618,86.31523807,0.112824551,0.028904484
2/4/14,84.7,85.25,84.46,84.91,86.14215376,86.25032864,85.96525787,86.44798953,86.912,89.48671241,84.33728759,37801215,42141904.65,47.6230654,55.08980153,-1.996768236,-82.96146045,-0.398382121,-0.317967851,0.08041427,-123.4887737,-119.3271093,-2.228107548,85.70766665,0.114765355,0.00935354
2/5/14,84.64,84.9901,83.74,84.69,86.07131699,86.20553213,85.7333928,86.24508235,86.7905,89.53802598,84.04297402,41969204,42944703.6,46.97118425,53.98010173,-1.888322521,-81.9391635,-0.391158687,-0.408534088,-0.017375401,-118.5216533,-106.9652215,-2.185373097,85.46836665,0.117096516,0.01492835
2/6/14,84.94,85.88,84.92,85.77,86.0566186,86.15579885,85.74004866,86.05252192,86.7135,89.48468946,83.94231054,32338053,43201106.7,50.43025356,53.11542848,-1.549586777,-61.40684411,-0.297044508,-0.388681037,-0.091636529,-52.35122763,-107.203275,-0.724242274,85.23485666,0.120326243,0.011304757
2/7/14,86.27,87.359,86,87.3,86.11727136,86.11854037,86.02367617,85.93242702,86.7275,89.50755665,83.94744335,38467242,43939684.3,54.77061694,52.73151995,-0.011453442,-32.31939163,-0.124007542,-0.246645956,-0.122638414,31.39997258,-88.37603938,1.095156167,85.39539966,0.121057538,0.015802326
2/10/14,87.23,87.84,87.21,87.8,86.19935568,86.11734328,86.34664414,85.96180393,86.7525,89.56154165,83.94345835,30225157,43550338.7,56.07583157,52.29706979,0.896345668,-22.81368821,0.023976259,-0.09266809,-0.116644349,56.23783639,-41.34476914,1.737280771,85.96677976,0.122276011,0.007223942
